,bus_i,type,Pd,Qd,Gs,X,Y
102,103,2,23,16,0,0.7050421959228483,-0.44237281031862596
103,104,2,38,25,0,0.7370314832624193,-0.49296959583580924
104,105,2,31,26,0,0.793811822691095,-0.38888686327823996
105,106,1,43,16,0,0.7768786029000727,-0.47177046874697703
106,107,2,50,12,0,0.8692789416425868,-0.3966840534850313
107,108,1,2,1,0,0.7836590387295906,-0.2583461150188099
108,109,1,8,3,0,0.6878125484531977,-0.22199274546435585
109,110,2,39,30,0,0.6393710955251241,-0.3176014678806608
110,111,2,0,0,0,0.5955886411772509,-0.32948996516948115
111,112,2,68,13,0,0.5241977828523084,-0.3199173943047637
112,113,2,6,0,0,-0.3782904594290685,-0.06042059123097526
113,114,1,8,3,0,-0.3340964645193798,-0.360250402238743
114,115,1,22,7,0,-0.35938943972409,-0.43011219285543706
115,116,2,184,0,0,0.3031888244424559,0.07938837135715202
116,117,1,20,8,0,-0.8747687417992028,0.2544290199015794
117,118,1,33,15,0,0.1376721783923313,-0.2832474328979542
