,bus_i,type,Pd,Qd,Gs,X,Y
56,57,1,12,3,0,0.6615692472413531,0.5838551938729372
57,58,1,12,3,0,0.7139163125606534,0.6184642568019625
58,59,2,277,113,0,0.5172520392379315,0.7470768858190965
59,60,1,78,3,0,0.4259283145412472,0.8134530723945241
60,61,2,0,0,0,0.389219011821683,0.7283802887745603
61,62,2,77,14,0,0.3202127899123594,0.7312866230298216
62,63,1,0,0,0,0.41503637030813184,0.6835223022969665
63,64,1,0,0,0,0.2786783703694122,0.5654500201080016
64,65,2,0,0,0,0.09234373439813445,0.34457624529371844
65,66,2,39,18,0,0.2318946533837741,0.5605692130756446
66,67,1,28,7,0,0.25391049003410743,0.7181969366528032
67,68,1,0,0,0,-0.018558955659228955,0.4739434936079097
68,69,3,0,0,0,0.09068021161247612,0.5270656764076036
69,70,2,66,20,0,-0.01411103104919362,0.6387204397267476
70,71,1,0,0,0,-0.03514837021904343,0.821588033124186
71,72,2,12,0,0,-0.014163258473292438,0.6691621278126109
72,73,2,6,0,0,-0.06141274606911719,0.9885720835381079
73,74,2,68,27,0,-0.08412967854407453,0.7398467875237786
74,75,1,47,11,0,-0.07421703151004651,0.6148548095978845
75,76,2,68,36,0,-0.19608884464962067,0.5976601316347401
76,77,2,61,28,0,-0.08393443080747191,0.4257571648906544
77,78,1,71,26,0,-0.19317075226880867,0.43289183422262195
78,79,1,39,32,0,-0.12011462035284966,0.3206969279819073
79,80,2,130,26,0,0.029596325673045282,0.1812241459652915
80,81,1,0,0,0,-0.028891943313814648,0.33940887564887057
81,82,1,54,27,0,-0.16490740611451266,0.23712307634047486
82,83,1,20,10,0,-0.35894040266866656,0.21550607878302547
83,84,1,11,7,0,-0.47614055270450595,0.19676180106743668
84,85,2,24,15,0,-0.39807769842052915,0.09387857626079331
85,86,1,21,10,0,-0.5488823000701072,0.266861865868127
86,87,2,0,0,0,-0.6405160344915798,0.4002822166464891
87,88,1,48,10,0,-0.3548246849240628,-0.027652161322061122
88,89,2,0,0,0,-0.208028381384009,-0.11992838929743456
89,90,2,163,42,0,-0.1582973650045929,-0.2905068817634518
90,91,2,10,0,0,-0.04088110373887741,-0.3913455551471386
91,92,2,65,10,0,0.0721168475223947,-0.27551424519376844
92,93,1,12,7,0,0.15381050173182723,-0.29371191799248586
93,94,1,30,16,0,0.1333166189660309,-0.15775356636461624
94,95,1,42,31,0,0.038240129935357865,-0.06537329362949716
95,96,1,38,15,0,-0.007474774502651342,0.05247193750772013
96,97,1,15,9,0,-0.059360314816644964,0.14963208839135025
97,98,1,34,8,0,0.18499355560155564,-0.0368065203699467
98,99,2,42,0,0,0.20972789900181554,-0.022367528455155626
99,100,2,37,18,0,0.3300440874618582,-0.25424154702856555
100,101,1,22,15,0,0.31737359067906845,-0.4158245736636662
101,102,1,5,3,0,0.19263756688666012,-0.4282977809640917
102,103,2,23,16,0,0.6030667638645092,-0.3650242406690635
103,104,2,38,25,0,0.5215722151097754,-0.35978327092976425
104,105,2,31,26,0,0.646241227723822,-0.4600163153483892
105,106,1,43,16,0,0.5152581949636778,-0.41717828826912656
106,107,2,50,12,0,0.6184219553925774,-0.5258464603815733
107,108,1,2,1,0,0.7992375051712869,-0.5472476497970405
108,109,1,8,3,0,0.9062480298628681,-0.54542073133531
109,110,2,39,30,0,0.8482122363380596,-0.4352082578922155
110,111,2,0,0,0,0.9776238089402945,-0.39371082609298336
111,112,2,68,13,0,0.9918630859597033,-0.480573489802285
112,113,2,6,0,0,-0.11608021631253002,-0.3399754889017362
113,114,1,8,3,0,0.26683603268384776,-0.17818797827303534
114,115,1,22,7,0,0.36945335381127303,-0.19438679760386868
115,116,2,184,0,0,-0.15341564332083474,0.5620686637881842
116,117,1,20,8,0,-0.9106152058895188,-0.7179009723779489
117,118,1,33,15,0,-0.195751895897029,0.7093541805481742
