,bus_i,type,Pd,Qd,Gs,X,Y
70,71,1,0,0,0,0.3110070537393299,-0.18113689825819376
71,72,2,12,0,0,0.19336010901963016,-0.18041769224702717
72,73,2,6,0,0,0.4118033512945506,-0.23194024609479194
73,74,2,68,27,0,0.3673544042617397,-0.05626976011271289
74,75,1,47,11,0,0.41159100245501273,-0.05644426956083611
75,76,2,68,36,0,0.546045615867721,-0.1311765193439952
76,77,2,61,28,0,0.44129147660530144,-0.17301509044915955
77,78,1,71,26,0,0.4860801223568373,-0.27925213958950246
78,79,1,39,32,0,0.4566607306126978,-0.3675822584390584
79,80,2,130,26,0,0.3580476813190693,-0.3578218236014989
80,81,1,0,0,0,0.2852186893710662,-0.1482964448750573
81,82,1,54,27,0,0.549720882834376,-0.3265912296634249
82,83,1,20,10,0,0.7154285473167501,-0.3362097845701334
83,84,1,11,7,0,0.8147241573202062,-0.3158601611125755
84,85,2,24,15,0,0.7493983040071526,-0.29390320329494474
85,86,1,21,10,0,0.8915841081237652,-0.2167321601658576
86,87,2,0,0,0,1.0,-0.1826318432176139
87,88,1,48,10,0,0.687742218755675,-0.336685765620231
88,89,2,0,0,0,0.5794341852986856,-0.37712352541460586
89,90,2,163,42,0,0.5271688388748682,-0.36577891113769967
90,91,2,10,0,0,0.4601263717112336,-0.43951083467100477
91,92,2,65,10,0,0.3815325506717472,-0.5237283892761855
92,93,1,12,7,0,0.40720132748033094,-0.6312359698876054
93,94,1,30,16,0,0.35884258520031276,-0.588934335183747
94,95,1,42,31,0,0.4558948242166978,-0.5876434898359618
95,96,1,38,15,0,0.4463630209598138,-0.4724993831976585
96,97,1,15,9,0,0.4017962185009832,-0.44769197683583334
97,98,1,34,8,0,0.2628630672155585,-0.4982194575740625
98,99,2,42,0,0,0.2846072635877649,-0.512815140028579
99,100,2,37,18,0,0.1889454168715461,-0.6251417269484413
100,101,1,22,15,0,0.24690866357048608,-0.6962067942417706
101,102,1,5,3,0,0.30197588144695187,-0.6221847146876589
102,103,2,23,16,0,-0.0007251593007166886,-0.746248530737994
103,104,2,38,25,0,0.06298593355279994,-0.71824222604633
104,105,2,31,26,0,-0.05140164258922585,-0.759991736295514
105,106,1,43,16,0,0.027661581823642183,-0.6974684153263127
106,107,2,50,12,0,-0.07178820773226897,-0.7533922050040994
107,108,1,2,1,0,-0.17054028493593282,-0.8172002380967274
108,109,1,8,3,0,-0.23807418733158858,-0.8779301075116437
109,110,2,39,30,0,-0.17699344094756536,-0.8570623931584684
110,111,2,0,0,0,-0.23955444463596004,-0.9565603064818025
111,112,2,68,13,0,-0.3013123350885646,-0.8831731430081755
112,113,2,6,0,0,-0.39091360762191546,-0.018844983521795373
113,114,1,8,3,0,-0.28326640558011057,-0.2617766746241564
114,115,1,22,7,0,-0.3165574563927509,-0.3169040369709968
115,116,2,184,0,0,0.2769465684202097,0.10038626842896752
116,117,1,20,8,0,-0.7440791426696508,0.5304866351247957
117,118,1,33,15,0,0.5292735756036804,-0.064604504622629
