,bus_i,type,Pd,Qd,Gs,X,Y
46,47,1,34,0,0,0.049673583890342946,0.01632595099776367
47,48,1,20,11,0,0.08822868076551359,0.03137867548956247
48,49,2,87,30,0,-0.028499786285591952,0.02700981955731854
49,50,1,17,4,0,-0.02441969492386345,0.15171192803203296
50,51,1,17,8,0,0.03387695437404407,0.18550988056455797
51,52,1,18,5,0,0.09195959616533635,0.2675566249648601
52,53,1,23,11,0,0.00359393036312561,0.250967202648154
53,54,2,113,32,0,-0.12462273964825495,0.17581858918044604
54,55,2,63,22,0,-0.22090849915328437,0.22039693440184685
55,56,2,84,18,0,-0.15685940941372398,0.25662592078234975
56,57,1,12,3,0,-0.06668276592982192,0.24640196167655312
57,58,1,12,3,0,-0.035550692445448256,0.28170858184157904
58,59,2,277,113,0,-0.2763270627716398,0.16758089614017013
59,60,1,78,3,0,-0.3933417691195435,0.12165524065445232
60,61,2,0,0,0,-0.3690223095321029,0.07981739553673362
61,62,2,77,14,0,-0.36146381570379155,0.02275764392458154
62,63,1,0,0,0,-0.3399952161919703,0.09177009268230035
63,64,1,0,0,0,-0.30152890738114646,-0.012230779319040626
64,65,2,0,0,0,-0.16463716741615697,-0.11757803725376859
65,66,2,39,18,0,-0.223375402532116,-0.02424036823829781
66,67,1,28,7,0,-0.35176107137296164,-0.04507673029707285
67,68,1,0,0,0,-0.12279988778008638,0.07624527822007372
68,69,3,0,0,0,0.009774687818819208,0.08810673358071519
69,70,2,66,20,0,0.19314390683320973,-0.030749071103048118
70,71,1,0,0,0,0.3674206225303537,-0.04053112540203372
71,72,2,12,0,0,0.4261648736239008,-0.12468349627485846
72,73,2,6,0,0,0.4818741341040243,-0.009501965883768127
73,74,2,68,27,0,0.11684799409646635,-0.0008962243104007276
74,75,1,47,11,0,0.014073034176649618,0.059393620489031185
75,76,2,68,36,0,-0.16871535049324934,0.10570285020260592
76,77,2,61,28,0,-0.12275061630741328,0.24475700807929265
77,78,1,71,26,0,-0.234837610115059,0.3001146348259709
78,79,1,39,32,0,-0.2194968608489658,0.39346967206500727
79,80,2,130,26,0,-0.12238439239912424,0.4547636072160953
80,81,1,0,0,0,-0.13281182710875417,0.26545196934774035
81,82,1,54,27,0,-0.257544627744117,0.4580678930233911
82,83,1,20,10,0,-0.4104962278537322,0.6130277732570815
83,84,1,11,7,0,-0.5000640974004614,0.6911128874437898
84,85,2,24,15,0,-0.48178591700222023,0.7627238351339188
85,86,1,21,10,0,-0.6200043001253621,0.8322153886810197
86,87,2,0,0,0,-0.7159182469163607,0.8923575483073277
87,88,1,48,10,0,-0.4595722814728036,0.8497477412827723
88,89,2,0,0,0,-0.3542465565248076,0.8339475473115728
89,90,2,163,42,0,-0.3431760644546349,0.9362966612189265
90,91,2,10,0,0,-0.2558707883346702,0.9239448625224033
91,92,2,65,10,0,-0.16905589642007224,0.8256548456515251
92,93,1,12,7,0,-0.13025178639903878,0.8290558708090024
93,94,1,30,16,0,-0.12301475412802247,0.7308499004959437
94,95,1,42,31,0,-0.1885398400113229,0.691995078174757
95,96,1,38,15,0,-0.18131238771300448,0.5844759190519756
96,97,1,15,9,0,-0.17353194507155448,0.5354322908188965
97,98,1,34,8,0,-0.05837992124189308,0.6210931574694314
98,99,2,42,0,0,-0.03332559585182192,0.6090466617108057
99,100,2,37,18,0,0.0179127837444949,0.7588787355191313
100,101,1,22,15,0,-0.021082103225265648,0.8742643011465713
101,102,1,5,3,0,-0.1032722939422948,0.9118750738256423
102,103,2,23,16,0,0.21199132095935072,0.8314372730414866
103,104,2,38,25,0,0.14496258738139076,0.824113162052946
104,105,2,31,26,0,0.22378065473087952,0.899695046987864
105,106,1,43,16,0,0.13123117265997383,0.8698549560600621
106,107,2,50,12,0,0.18833101928505805,0.9595703003965171
107,108,1,2,1,0,0.3241705231862803,0.974070955622025
108,109,1,8,3,0,0.4025421013217644,1.0
109,110,2,39,30,0,0.3883686813954262,0.9108107345537618
110,111,2,0,0,0,0.4976205280871288,0.9365107326113267
111,112,2,68,13,0,0.4793074830367672,0.9855649457263082
112,113,2,6,0,0,0.329470190888417,-0.6835535082559978
113,114,1,8,3,0,0.5989471358751519,-0.6681986833622261
114,115,1,22,7,0,0.6602203783800514,-0.6948337666768178
115,116,2,184,0,0,-0.17465715293448034,0.11930166443804406
116,117,1,20,8,0,-0.261409096055794,-0.9455354291201241
117,118,1,33,15,0,-0.0990922938576424,0.03324418652206479
